schema	table	policy	permissive	roles	command	qual	with_check
public	price_change_history	price_change_history_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))\n    ELSE (is_admin() OR (store_id = ANY (current_user_store_ids())))\nEND	
public	price_commit_log	price_commit_log_insert_admin	PERMISSIVE	authenticated	INSERT		(is_global_admin() OR has_store_role(NULL::uuid, ARRAY['admin'::text, 'manager'::text]))
public	price_commit_log	price_commit_log_select_authenticated	PERMISSIVE	authenticated	SELECT	(is_global_admin() OR is_store_member(store_id))	
public	price_commit_log	price_commit_log_update_admin	PERMISSIVE	authenticated	UPDATE	is_global_admin()	
public	product_cost_sheets	pcs_insert_auth	PERMISSIVE	authenticated	INSERT		((store_id IN ( SELECT profiles.active_store_id\n   FROM profiles\n  WHERE (profiles.id = auth.uid()))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))
public	product_cost_sheets	product_cost_sheets_delete_admin	PERMISSIVE	authenticated	DELETE	is_global_admin()	
public	product_cost_sheets	product_cost_sheets_insert_roles	PERMISSIVE	authenticated	INSERT		(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text, 'costo'::text]))
public	product_cost_sheets	product_cost_sheets_select_authenticated	PERMISSIVE	authenticated	SELECT	(is_global_admin() OR is_store_member(store_id))	
public	product_cost_sheets	product_cost_sheets_select_rls	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = product_cost_sheets.store_id))))	
public	product_cost_sheets	product_cost_sheets_update_roles	PERMISSIVE	authenticated	UPDATE	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text, 'costo'::text]))	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text, 'costo'::text]))
public	product_lots	lots_delete	PERMISSIVE	authenticated	DELETE	has_store_access(store_id)	
public	product_lots	lots_insert	PERMISSIVE	authenticated	INSERT		has_store_access(store_id)
public	product_lots	lots_select	PERMISSIVE	authenticated	SELECT	has_store_access(store_id)	
public	product_lots	lots_update	PERMISSIVE	authenticated	UPDATE	has_store_access(store_id)	
public	product_variants	Variantes públicas - lectura	PERMISSIVE	anon|authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM products\n  WHERE ((products.id = product_variants.product_id) AND (products.visible_en_tienda = true))))	
public	product_variants	Variants delete - member access	PERMISSIVE	authenticated	DELETE	(EXISTS ( SELECT 1\n   FROM products p\n  WHERE ((p.id = product_variants.product_id) AND has_store_access(p.store_id))))	
public	product_variants	Variants insert - member access	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM products p\n  WHERE ((p.id = product_variants.product_id) AND has_store_access(p.store_id))))
public	product_variants	Variants store isolation	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM products p\n  WHERE ((p.id = product_variants.product_id) AND ((p.store_id IS NULL) OR has_store_access(p.store_id)))))	
public	product_variants	Variants update - member access	PERMISSIVE	authenticated	UPDATE	(EXISTS ( SELECT 1\n   FROM products p\n  WHERE ((p.id = product_variants.product_id) AND has_store_access(p.store_id))))	(EXISTS ( SELECT 1\n   FROM products p\n  WHERE ((p.id = product_variants.product_id) AND has_store_access(p.store_id))))
public	production_order_items	poi_delete_has_store_access	PERMISSIVE	public	DELETE	(EXISTS ( SELECT 1\n   FROM production_orders po\n  WHERE ((po.id = production_order_items.order_id) AND has_store_access(po.store_id))))	
public	production_order_items	poi_insert_has_store_access	PERMISSIVE	public	INSERT		(EXISTS ( SELECT 1\n   FROM production_orders po\n  WHERE ((po.id = production_order_items.order_id) AND has_store_access(po.store_id))))
public	production_order_items	poi_select_has_store_access	PERMISSIVE	public	SELECT	(EXISTS ( SELECT 1\n   FROM production_orders po\n  WHERE ((po.id = production_order_items.order_id) AND has_store_access(po.store_id))))	
public	production_order_items	poi_update_has_store_access	PERMISSIVE	public	UPDATE	(EXISTS ( SELECT 1\n   FROM production_orders po\n  WHERE ((po.id = production_order_items.order_id) AND has_store_access(po.store_id))))	
public	production_orders	po_delete_has_store_access	PERMISSIVE	public	DELETE	has_store_access(store_id)	
public	production_orders	po_insert_has_store_access	PERMISSIVE	public	INSERT		has_store_access(store_id)
public	production_orders	po_update_has_store_access	PERMISSIVE	public	UPDATE	has_store_access(store_id)	
public	production_orders	production_orders_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))\n    ELSE (is_admin() OR (store_id = ANY (current_user_store_ids())))\nEND	
public	products	products_delete_rls	PERMISSIVE	authenticated	DELETE	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = products.store_id))))	
public	products	products_public_read_anon	PERMISSIVE	anon	SELECT	((is_active = true) AND (visible_en_tienda = true))	
public	products	products_select_rls	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = products.store_id))))	
public	products	products_tenant_delete	PERMISSIVE	authenticated	DELETE	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND is_admin())\n    ELSE is_admin()\nEND	
public	products	products_tenant_insert	PERMISSIVE	authenticated	INSERT		((tenant_id = current_user_tenant_id()) AND (store_id = ANY (current_user_store_ids())))
public	products	products_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))\n    ELSE (is_admin() OR has_store_access(store_id))\nEND	
public	products	products_tenant_update	PERMISSIVE	authenticated	UPDATE	((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))	((tenant_id = current_user_tenant_id()) AND (store_id = ANY (current_user_store_ids())))
public	products	products_update_rls	PERMISSIVE	authenticated	UPDATE	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = products.store_id))))	
public	profiles	profiles_delete_admin	PERMISSIVE	authenticated	DELETE	is_admin()	
public	profiles	profiles_insert_admin	PERMISSIVE	authenticated	INSERT		is_admin()
public	profiles	profiles_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((id = auth.uid()) OR is_admin_with_access(active_store_id) OR (is_admin() AND (tenant_id = current_user_tenant_id())))\n    ELSE ((id = auth.uid()) OR is_admin() OR (created_by = auth.uid()) OR is_managed_user(id))\nEND	
public	profiles	profiles_tenant_update	PERMISSIVE	authenticated	UPDATE	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((id = auth.uid()) OR (is_admin() AND (tenant_id = current_user_tenant_id())))\n    ELSE ((id = auth.uid()) OR is_admin())\nEND	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((id = auth.uid()) OR (is_admin() AND (tenant_id = current_user_tenant_id())))\n    ELSE ((id = auth.uid()) OR is_admin())\nEND
public	purchase_items	Purchase items access	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM purchase_orders o\n  WHERE ((o.id = purchase_items.purchase_order_id) AND has_store_access(o.store_id))))	
public	purchase_order_items	po_items_insert_authenticated	PERMISSIVE	authenticated	INSERT		(po_id IN ( SELECT purchase_orders.id\n   FROM purchase_orders\n  WHERE ((purchase_orders.store_id IN ( SELECT user_store_memberships.store_id\n           FROM user_store_memberships\n          WHERE ((user_store_memberships.user_id = auth.uid()) AND (user_store_memberships.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role, 'encargado'::user_role]))))) OR (EXISTS ( SELECT 1\n           FROM profiles\n          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))))
public	purchase_order_items	po_items_select_authenticated	PERMISSIVE	authenticated	SELECT	(po_id IN ( SELECT purchase_orders.id\n   FROM purchase_orders\n  WHERE ((purchase_orders.store_id IN ( SELECT user_store_memberships.store_id\n           FROM user_store_memberships\n          WHERE (user_store_memberships.user_id = auth.uid()))) OR (EXISTS ( SELECT 1\n           FROM profiles\n          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))))	
public	purchase_order_items	poi_ins	PERMISSIVE	authenticated	INSERT		(po_id IN ( SELECT purchase_orders.id\n   FROM purchase_orders\n  WHERE ((purchase_orders.store_id IN ( SELECT user_store_memberships.store_id\n           FROM user_store_memberships\n          WHERE (user_store_memberships.user_id = auth.uid()))) OR (EXISTS ( SELECT 1\n           FROM profiles\n          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))))
public	purchase_order_items	poi_sel	PERMISSIVE	authenticated	SELECT	(po_id IN ( SELECT purchase_orders.id\n   FROM purchase_orders\n  WHERE ((purchase_orders.store_id IN ( SELECT user_store_memberships.store_id\n           FROM user_store_memberships\n          WHERE (user_store_memberships.user_id = auth.uid()))) OR (EXISTS ( SELECT 1\n           FROM profiles\n          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))))	
public	purchase_order_items	purchase_order_items_delete_deny	PERMISSIVE	authenticated	DELETE	false	
public	purchase_order_items	purchase_order_items_update_deny	PERMISSIVE	authenticated	UPDATE	false	false
public	purchase_orders	Purchases unified	PERMISSIVE	authenticated	ALL	has_store_access(store_id)	
public	purchase_orders	po_ins	PERMISSIVE	authenticated	INSERT		((store_id IN ( SELECT user_store_memberships.store_id\n   FROM user_store_memberships\n  WHERE (user_store_memberships.user_id = auth.uid()))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))
public	purchase_orders	po_insert_authenticated	PERMISSIVE	authenticated	INSERT		((store_id IN ( SELECT user_store_memberships.store_id\n   FROM user_store_memberships\n  WHERE ((user_store_memberships.user_id = auth.uid()) AND (user_store_memberships.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role, 'encargado'::user_role]))))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))
public	purchase_orders	po_sel	PERMISSIVE	authenticated	SELECT	((store_id IN ( SELECT user_store_memberships.store_id\n   FROM user_store_memberships\n  WHERE (user_store_memberships.user_id = auth.uid()))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	purchase_orders	po_select_authenticated	PERMISSIVE	authenticated	SELECT	((store_id IN ( SELECT user_store_memberships.store_id\n   FROM user_store_memberships\n  WHERE (user_store_memberships.user_id = auth.uid()))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	purchase_orders	po_upd	PERMISSIVE	authenticated	UPDATE	((store_id IN ( SELECT user_store_memberships.store_id\n   FROM user_store_memberships\n  WHERE (user_store_memberships.user_id = auth.uid()))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	purchase_orders	po_update_authenticated	PERMISSIVE	authenticated	UPDATE	((store_id IN ( SELECT user_store_memberships.store_id\n   FROM user_store_memberships\n  WHERE ((user_store_memberships.user_id = auth.uid()) AND (user_store_memberships.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role, 'encargado'::user_role]))))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	purchase_orders	purchase_orders_select_rls	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = purchase_orders.store_id))))	
public	quotation_items	quotation_items_insert	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM quotations q\n  WHERE ((q.id = quotation_items.quotation_id) AND has_store_access(q.store_id))))
public	quotation_items	quotation_items_select	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM quotations q\n  WHERE ((q.id = quotation_items.quotation_id) AND has_store_access(q.store_id))))	
public	quotations	quotations_delete_own_store	PERMISSIVE	authenticated	DELETE	has_store_access(store_id)	
public	quotations	quotations_insert_own_store	PERMISSIVE	authenticated	INSERT		has_store_access(store_id)
public	quotations	quotations_select_own_store	PERMISSIVE	authenticated	SELECT	has_store_access(store_id)	
public	quotations	quotations_update_own_store	PERMISSIVE	authenticated	UPDATE	has_store_access(store_id)	has_store_access(store_id)
public	receipt_items	receipt_items_delete_denied	PERMISSIVE	authenticated	DELETE	false	
public	receipt_items	receipt_items_insert_isolated	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM (receipts r\n     JOIN user_store_memberships m ON ((m.store_id = r.store_id)))\n  WHERE ((r.id = receipt_items.receipt_id) AND (m.user_id = auth.uid()) AND (m.status = 'active'::membership_status))))
public	receipt_items	receipt_items_select_isolated	PERMISSIVE	authenticated	SELECT	(is_admin() OR (EXISTS ( SELECT 1\n   FROM receipts r\n  WHERE ((r.id = receipt_items.receipt_id) AND (is_admin() OR has_store_access(r.store_id))))))	
public	receipt_items	receipt_items_update_denied	PERMISSIVE	authenticated	UPDATE	false	false
public	receipt_tasa_audit	receipt_tasa_audit_insert_admin	PERMISSIVE	authenticated	INSERT		(is_global_admin() OR has_store_role(NULL::uuid, ARRAY['admin'::text, 'manager'::text]))
public	receipt_tasa_audit	receipt_tasa_audit_select_authenticated	PERMISSIVE	authenticated	SELECT	(is_global_admin() OR (EXISTS ( SELECT 1\n   FROM (receipt_items ri\n     JOIN receipts r ON ((ri.receipt_id = r.id)))\n  WHERE ((ri.id = receipt_tasa_audit.receipt_item_id) AND is_store_member(r.store_id)))))	
public	receipts	receipts_delete_rls	PERMISSIVE	authenticated	DELETE	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = receipts.store_id))))	
public	receipts	receipts_insert_rls	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = receipts.store_id))))
public	receipts	receipts_select_rls	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = receipts.store_id))))	
public	receipts	receipts_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))\n    ELSE (is_admin() OR has_store_access(store_id))\nEND	
public	receipts	receipts_tenant_update	PERMISSIVE	authenticated	UPDATE	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))\n    ELSE (is_admin() OR has_store_access(store_id))\nEND	
public	receipts	receipts_update_rls	PERMISSIVE	authenticated	UPDATE	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = receipts.store_id))))	
public	received_services	received_services_delete_auth	PERMISSIVE	public	DELETE	(has_store_access(store_id) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	received_services	received_services_insert_auth	PERMISSIVE	authenticated	INSERT		((store_id IN ( SELECT profiles.active_store_id\n   FROM profiles\n  WHERE (profiles.id = auth.uid()))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))
public	received_services	received_services_select_authenticated	PERMISSIVE	authenticated	SELECT	(has_store_access(store_id) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	received_services	received_services_update_auth	PERMISSIVE	public	UPDATE	(has_store_access(store_id) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	report_definitions	Reports unified	PERMISSIVE	authenticated	ALL	((( SELECT auth.uid() AS uid) = created_by) OR (EXISTS ( SELECT 1\n   FROM user_store_memberships\n  WHERE ((user_store_memberships.user_id = ( SELECT auth.uid() AS uid)) AND (user_store_memberships.store_id = report_definitions.store_id)))))	
public	report_runs	Users can insert their own report runs	PERMISSIVE	public	INSERT		(( SELECT auth.uid() AS uid) = executed_by)
public	report_runs	Users can view their own report runs	PERMISSIVE	public	SELECT	((( SELECT auth.uid() AS uid) = executed_by) OR (EXISTS ( SELECT 1\n   FROM user_store_memberships\n  WHERE ((user_store_memberships.user_id = ( SELECT auth.uid() AS uid)) AND (user_store_memberships.store_id = report_runs.store_id) AND (user_store_memberships.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role, 'encargado'::user_role]))))))	
public	restore_sessions	restore_sessions_store_access	PERMISSIVE	authenticated	ALL	has_store_access(store_id)	has_store_access(store_id)
public	roles	Roles manage	PERMISSIVE	authenticated	ALL	( SELECT is_admin() AS is_admin)	
public	roles	Roles select	PERMISSIVE	authenticated	SELECT	true	
public	rss_feeds	RSS manage	PERMISSIVE	authenticated	ALL	(( SELECT profiles.role\n   FROM profiles\n  WHERE (profiles.id = ( SELECT auth.uid() AS uid))) = ANY (ARRAY['admin'::user_role, 'manager'::user_role, 'encargado'::user_role]))	
public	rss_feeds	RSS select	PERMISSIVE	authenticated	SELECT	true	
public	rss_settings	RSS settings manage	PERMISSIVE	authenticated	ALL	(( SELECT profiles.role\n   FROM profiles\n  WHERE (profiles.id = ( SELECT auth.uid() AS uid))) = ANY (ARRAY['admin'::user_role, 'manager'::user_role, 'encargado'::user_role]))	
public	rss_settings	RSS settings select	PERMISSIVE	authenticated	SELECT	true	
public	sale_items	sale_items_selective_read	PERMISSIVE	authenticated	SELECT	(is_admin() OR (EXISTS ( SELECT 1\n   FROM sales s\n  WHERE ((s.id = sale_items.sale_id) AND ((s.cashier_id = auth.uid()) OR is_admin())))) OR (EXISTS ( SELECT 1\n   FROM products p\n  WHERE ((p.id = sale_items.product_id) AND has_store_access(p.store_id)))))	
public	sales	sales_selective_read	PERMISSIVE	authenticated	SELECT	(is_admin() OR (cashier_id = auth.uid()) OR (EXISTS ( SELECT 1\n   FROM (sale_items si\n     JOIN products p ON ((si.product_id = p.id)))\n  WHERE ((si.sale_id = sales.id) AND has_store_access(p.store_id)))))	
public	sales_transactions	sales_transactions_delete	PERMISSIVE	authenticated	DELETE	(EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))	
public	sales_transactions	sales_transactions_insert	PERMISSIVE	authenticated	INSERT		((EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role)))) OR (EXISTS ( SELECT 1\n   FROM (user_store_memberships m\n     JOIN profiles p ON ((p.id = m.user_id)))\n  WHERE ((m.user_id = auth.uid()) AND (m.store_id = sales_transactions.store_id) AND (m.status = 'active'::membership_status) AND (p.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role]))))))
public	sales_transactions	sales_transactions_select	PERMISSIVE	authenticated	SELECT	((EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role)))) OR (EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.store_id = sales_transactions.store_id) AND (m.status = 'active'::membership_status)))))	
public	sales_transactions	sales_transactions_service_role_all	PERMISSIVE	service_role	ALL	true	true
public	sales_transactions	sales_transactions_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))\n    ELSE (is_admin() OR (store_id = ANY (current_user_store_ids())))\nEND	
public	sales_transactions	sales_transactions_update	PERMISSIVE	authenticated	UPDATE	((EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role)))) OR (EXISTS ( SELECT 1\n   FROM (user_store_memberships m\n     JOIN profiles p ON ((p.id = m.user_id)))\n  WHERE ((m.user_id = auth.uid()) AND (m.store_id = sales_transactions.store_id) AND (m.status = 'active'::membership_status) AND (p.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role]))))))	
public	saved_analytics_views	Users can delete own analytics views	PERMISSIVE	public	DELETE	(auth.uid() = user_id)	
public	saved_analytics_views	Users can insert own analytics views	PERMISSIVE	public	INSERT		(auth.uid() = user_id)
public	saved_analytics_views	Users can update own analytics views	PERMISSIVE	public	UPDATE	(auth.uid() = user_id)	
public	saved_analytics_views	Users can view own analytics views	PERMISSIVE	public	SELECT	((auth.uid() = user_id) OR (store_id IN ( SELECT m.store_id\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status)))))	
public	service_audit_log	sal_delete_deny	PERMISSIVE	authenticated	DELETE	false	
public	service_audit_log	sal_select_authenticated	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM received_services rs\n  WHERE ((rs.id = service_audit_log.service_id) AND has_store_access(rs.store_id))))	
public	service_audit_log	sal_update_deny	PERMISSIVE	authenticated	UPDATE	false	false
public	service_cost_distributions	scd_delete_deny	PERMISSIVE	authenticated	DELETE	false	
public	service_cost_distributions	scd_insert_authenticated	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM received_services rs\n  WHERE ((rs.id = service_cost_distributions.service_id) AND has_store_access(rs.store_id))))
public	service_cost_distributions	scd_select_authenticated	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM received_services rs\n  WHERE ((rs.id = service_cost_distributions.service_id) AND has_store_access(rs.store_id))))	
public	service_cost_distributions	scd_update_deny	PERMISSIVE	authenticated	UPDATE	false	false
public	service_reception_links	srl_delete_deny	PERMISSIVE	authenticated	DELETE	false	
public	service_reception_links	srl_insert_authenticated	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM received_services rs\n  WHERE ((rs.id = service_reception_links.service_id) AND has_store_access(rs.store_id))))
public	service_reception_links	srl_select_authenticated	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM received_services rs\n  WHERE ((rs.id = service_reception_links.service_id) AND has_store_access(rs.store_id))))	
public	service_reception_links	srl_update_deny	PERMISSIVE	authenticated	UPDATE	false	false
public	service_types	service_types_read	PERMISSIVE	authenticated	SELECT	true	
public	service_types	service_types_write	PERMISSIVE	service_role	ALL	true	true
public	stock_movements	Warehouse can insert stock movements	PERMISSIVE	authenticated	INSERT		(has_any_role(ARRAY['admin'::user_role, 'warehouse'::user_role]) AND (store_id = current_user_store_id()))
public	stock_movements	stock_movements_delete_rls	PERMISSIVE	authenticated	DELETE	false	
public	stock_movements	stock_movements_insert_rls	PERMISSIVE	authenticated	INSERT		false
public	stock_movements	stock_movements_tenant_delete	PERMISSIVE	authenticated	DELETE	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND is_admin())\n    ELSE false\nEND	
public	stock_movements	stock_movements_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))\n    ELSE (is_admin() OR has_store_access(store_id))\nEND	
public	stock_movements	stock_movements_update_rls	PERMISSIVE	authenticated	UPDATE	false	
public	store_cost_templates	store_cost_templates_delete_admin	PERMISSIVE	authenticated	DELETE	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text]))	
public	store_cost_templates	store_cost_templates_insert_roles	PERMISSIVE	authenticated	INSERT		(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text]))
public	store_cost_templates	store_cost_templates_select_authenticated	PERMISSIVE	authenticated	SELECT	(is_global_admin() OR is_store_member(store_id))	
public	store_cost_templates	store_cost_templates_select_rls	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = store_cost_templates.store_id))))	
public	store_cost_templates	store_cost_templates_update_roles	PERMISSIVE	authenticated	UPDATE	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text]))	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text]))
public	store_exchange_rates	Users can manage own store rates	PERMISSIVE	public	ALL	(EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.store_id = store_exchange_rates.store_id))))	(EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.store_id = store_exchange_rates.store_id))))
public	store_exchange_rates	Users can view own store rates	PERMISSIVE	public	SELECT	((EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.store_id = store_exchange_rates.store_id)))) OR (EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role)))))	
public	store_notifications	notif_insert_own	PERMISSIVE	public	INSERT		(user_id = auth.uid())
public	store_notifications	notif_select_own	PERMISSIVE	public	SELECT	(user_id = auth.uid())	
public	store_reset_snapshots	store_reset_snapshots_admin_all	PERMISSIVE	authenticated	ALL	(EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))	
public	stores	stores_delete_admin_only	PERMISSIVE	authenticated	DELETE	(is_global_admin() OR has_store_role(id, ARRAY['admin'::text]))	
public	stores	stores_insert_admin_manager	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role])))))
public	stores	stores_select_anon	PERMISSIVE	anon	SELECT	(is_active = true)	
public	stores	stores_select_authenticated	PERMISSIVE	authenticated	SELECT	(is_global_admin() OR is_store_member(id))	
