rank,oid,signature,SD,public,anon,auth,svc,mutating,sensitive_tables,dynamic_sql,guard,consumers_src,consumers_bd,trigger,policies,class
143,53941,public.is_user_creator(p_target_user_id uuid),SD,False,False,True,True,False,,False,auth.uid,,,False,False,C4
144,136485,public.mark_expired_lots(p_store_id uuid),SD,False,False,True,True,True,,False,,,,False,False,C4
145,132504,"public.process_stock_adjustment(p_store_id uuid, p_product_id uuid, p_quantity_delta numeric, p_reason text, p_user_id uuid, p_operation_date timestamp with time zone)",SD,False,False,True,True,False,,False,,,,False,False,C4
146,136802,"public.record_counted_quantity(p_count_id uuid, p_product_id uuid, p_counted_quantity numeric, p_user_id uuid, p_notes text)",SD,False,False,True,True,True,,False,has_store_access_as,,,False,False,C4
147,21401,"public.record_sale_movement(p_store_id uuid, p_product_id uuid, p_variant_id uuid, p_quantity integer, p_reference text)",SD,False,False,True,True,False,,False,auth.uid,,,False,False,C4
148,136852,"public.reject_transfer(p_transfer_id uuid, p_reason text, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,,,False,False,C4
149,131719,public.sync_inventory_from_products(p_store_id uuid),SD,False,False,True,True,True,,False,,,,False,False,C4
150,136850,"public.transfer_requires_approval(p_origin_store_id uuid, p_destination_store_id uuid, p_items jsonb)",SD,False,False,True,True,False,,False,,,,False,False,C4
151,137560,public.validate_backup_registry_drift(),SD,False,False,True,True,False,,False,,,,False,False,C4
152,132487,"public.validate_transfer_operation_date(p_new_date timestamp with time zone, p_origin_store_id uuid, p_destination_store_id uuid)",SD,False,False,True,True,False,,False,,,,False,False,C4
153,88196,public.verify_audit_chain(),SD,False,False,True,True,False,,False,,,,False,False,C4
154,136514,"public.auto_match_bank_items(p_statement_id uuid, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,src/app/api/bank-reconciliation/match/route.ts,,False,False,C2
155,136484,"public.calculate_abc(p_store_id uuid, p_year integer, p_month integer, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,src/app/api/abc-analysis/route.ts,,False,False,C2
156,132722,public.calculate_service_distribution(p_service_id uuid),SD,False,False,True,True,False,,False,,src/app/api/received-services/distribute/route.ts,,False,False,C2
157,136270,"public.create_quotation(p_store_id uuid, p_items jsonb, p_user_id uuid, p_customer_id uuid, p_customer_name text, p_customer_phone text, p_discount_type text, p_discount_value numeric, p_notes text, p_valid_until date)",SD,False,False,True,True,True,,False,has_store_access_as,src/app/api/quotations/route.ts,,False,False,C2
158,142308,"public.create_vale_salida(p_store_id uuid, p_items jsonb, p_production_order_id uuid, p_notes text, p_idempotency_key text)",SD,False,False,True,True,False,,False,,src/app/api/vale-salida/route.ts,,False,False,C2
159,136705,"public.duplicate_inventory_adjustment(p_original_id uuid, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,src/app/api/inventory/adjustments/duplicate/route.ts,,False,False,C2
160,132723,"public.get_product_cost_analysis(p_product_id uuid, p_store_id uuid)",SD,False,False,True,True,False,,False,,src/app/api/received-services/analysis/route.ts,,False,False,C2
161,136513,"public.get_reorder_suggestions(p_store_id uuid, p_user_id uuid)",SD,False,False,True,True,False,,False,has_store_access_as,src/app/api/reorder-suggestions/route.ts,,False,False,C2
162,132924,public.get_usage_summary(p_hours integer),SD,False,False,True,True,False,,False,,src/app/api/usage/summary/route.ts,,False,False,C2
163,136256,"public.lock_fiscal_period(p_store_id uuid, p_year integer, p_month integer)",SD,False,False,True,True,True,,False,auth.uid,src/app/api/fiscal-close/route.ts,,False,False,C2
164,136656,"public.reverse_adjustment(p_adjustment_id uuid, p_reason text, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,src/app/api/reverse/route.ts,,False,False,C2
165,136657,"public.reverse_devolution(p_devolution_id uuid, p_reason text, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,src/app/api/reverse/route.ts,,False,False,C2
166,136654,"public.reverse_receipt(p_receipt_id uuid, p_reason text, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,src/app/api/reverse/route.ts,,False,False,C2
167,136653,"public.reverse_transaction(p_transaction_id uuid, p_reason text, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,src/app/api/reverse/route.ts,,False,False,C2
168,137398,"public.validate_store_can_be_modified(p_store_id uuid, p_check_type text)",SD,False,False,True,True,False,,False,,src/app/api/stores/bulk/preview/route.ts,bulk_soft_delete_stores;reset_store_data,False,False,C2
169,136257,public.auto_kardex_on_stock_movement(),SD,False,False,True,True,True,,False,,,,True,False,C1B
170,79082,public.can_safely_delete_user(p_user_id uuid),SD,False,False,True,True,False,,False,,,managed_delete_user,False,False,C1B
171,130873,"public.cancel_transfer(p_transfer_id uuid, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,src/services/transfer-service.ts,,False,False,C1
172,136899,"public.confirm_inventory_adjustment(p_adjustment_id uuid, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,src/components/views/terminal/views/inventory/InventoryAdjustmentsView.tsx,,False,False,C1
173,136713,"public.confirm_pending_reception(p_receipt_id uuid, p_user_id uuid, p_operation_date timestamp with time zone)",SD,False,False,True,True,True,,False,has_store_access_as,src/hooks/api/useReceptions.ts,,False,False,C1
174,21750,public.current_user_store_id(),SD,False,False,True,True,False,,False,auth.uid,,get_current_user_store_id,False,True,C1B
175,138373,public.current_user_store_ids(),SD,False,False,True,True,False,,False,is_admin,,,False,True,C1B
176,137558,public.discover_backup_tables(),SD,False,False,True,True,False,,False,,src/lib/backup/backup-service.ts,validate_backup_registry_drift,False,False,C1
177,26677,public.fn_sync_inventory_on_movement(),SD,False,False,True,True,True,,False,,,,True,False,C1B
178,48498,"public.get_audit_logs(p_store_id uuid, p_search_term text, p_date_from timestamp without time zone, p_date_to timestamp without time zone, p_limit integer)",SD,False,False,True,True,False,,False,has_store_access;is_admin,src/lib/reports/data-fetcher.ts,,False,False,C1
179,137493,"public.get_available_stock(p_store_id uuid, p_product_id uuid)",SD,False,False,True,True,False,,False,,,confirm_transfer,False,False,C1B
180,137559,public.get_backup_table_list(p_include_excluded boolean),SD,False,False,True,True,False,,False,,src/lib/backup/backup-service.ts,,False,False,C1
181,131903,"public.get_batch_store_daily_kpis(p_store_ids uuid[], p_date date)",SD,False,False,True,True,False,,False,,src/hooks/api/useMultiStoreDashboard.ts,,False,False,C1
182,130869,"public.get_cash_closures(p_store_id uuid, p_date_from date, p_date_to date, p_limit integer)",SD,False,False,True,True,False,,False,,src/lib/reports/data-fetcher.ts,,False,False,C1
183,33592,public.get_current_user_store_id(),SD,False,False,True,True,False,,False,,,,False,True,C1B
184,130872,"public.get_daily_expenses_aggregated(p_store_id uuid, p_date_from date, p_date_to date, p_limit integer)",SD,False,False,True,True,False,,False,,src/lib/reports/data-fetcher.ts,,False,False,C1
185,130871,"public.get_daily_income_aggregated(p_store_id uuid, p_date_from timestamp with time zone, p_date_to timestamp with time zone, p_limit integer)",SD,False,False,True,True,False,,False,,src/lib/reports/data-fetcher.ts,,False,False,C1
186,132485,public.get_global_max_operation_date(p_store_id uuid),SD,False,False,True,True,False,,False,,src/hooks/api/useGlobalOperationDate.ts,validate_transfer_operation_date,False,False,C1
187,133402,public.get_low_stock_count(p_store_id uuid),SD,False,False,True,True,False,,False,,src/components/views/terminal/views/sales_hub/SalesHubView.tsx;src/hooks/api/useStoreNotifications.t,,False,False,C1
188,47075,public.get_my_role(),SD,False,False,True,True,False,,False,auth.uid,,manage_user_memberships,False,True,C1B
189,79124,"public.get_new_academy_cards(p_user_id uuid, p_limit integer)",SD,False,False,True,True,False,,False,,src/app/api/academy/review/route.ts,,False,False,C1
190,133830,"public.get_paginated_products(p_store_id uuid, p_search_term text, p_category text, p_limit integer, p_offset integer)",SD,False,False,True,True,False,,False,,src/app/tienda/[slug]/page.tsx;src/hooks/api/useInventory.ts;src/lib/reports/data-fetcher.ts,,False,False,C1
191,59843,"public.get_product_stock_ledger_paginated(p_product_id uuid, p_store_id uuid, p_limit integer, p_offset integer)",SD,False,False,True,True,False,,False,,src/app/api/inventory/[productId]/history/route.ts;src/hooks/api/useKardex.ts;src/lib/reports/data-f,,False,False,C1
192,132197,"public.get_products_for_reception(p_store_id uuid, p_search_term text, p_page integer, p_page_size integer)",SD,False,False,True,True,False,,False,,src/hooks/api/useReceptionProductSearch.ts,,False,False,C1
193,130870,"public.get_profit_report(p_store_id uuid, p_date_from timestamp with time zone, p_date_to timestamp with time zone, p_limit integer)",SD,False,False,True,True,False,,False,,src/lib/reports/data-fetcher.ts,,False,False,C1
194,51380,public.get_sales_since_last_closure(p_store_id uuid),SD,False,False,True,True,False,,False,,src/services/cash-service.ts,,False,False,C1
195,132401,"public.get_store_analytics_advanced(p_store_id uuid, p_start_date date, p_end_date date, p_days integer)",SD,False,False,True,True,False,,False,,src/hooks/api/useStoreAnalytics.ts,,False,False,C1
196,49875,"public.get_transferable_stores(p_user_id uuid, p_current_store_id uuid)",SD,False,False,True,True,False,,False,has_store_access_as,src/services/transfer-service.ts,,False,False,C1
197,130868,"public.get_transfers(p_store_id uuid, p_date_from timestamp with time zone, p_date_to timestamp with time zone, p_status text, p_limit integer)",SD,False,False,True,True,False,,False,,src/lib/reports/data-fetcher.ts,,False,False,C1
198,135148,"public.get_worker_commission_summary(p_store_id uuid, p_date_from date, p_date_to date)",SD,False,False,True,True,False,,False,,src/app/api/commissions/summary/route.ts,,False,False,C1
199,21790,public.has_any_role(required_roles user_role[]),SD,False,False,True,True,False,,False,auth.uid,,,False,True,C1B
200,54236,public.has_role(p_required_role user_role),SD,False,False,True,True,False,,False,has_role,,update_transaction_taxes,False,True,C1B
201,54235,"public.has_role(p_user_id uuid, p_required_role user_role)",SD,False,False,True,True,False,,False,,,update_transaction_taxes,False,True,C1B
202,38675,public.has_store_access(p_store_id uuid),SD,False,False,True,True,False,,False,is_admin,,create_purchase_order;create_received_service_v2;distribute_service_cost_v2;get_audit_logs;get_pagin,False,True,C1B
203,136268,"public.has_store_access_as(p_user_id uuid, p_store_id uuid)",SD,False,False,True,True,False,,False,,,adjust_sale_payment;apply_physical_count;approve_transfer;auto_match_bank_items;calculate_abc;cancel,False,False,C1B
204,131888,"public.has_store_role(p_store_id uuid, p_roles text[])",SD,False,False,True,True,False,,False,auth.uid,,bulk_assign_memberships;get_or_create_product_cost_sheet;managed_revoke_membership;managed_update_me,False,True,C1B
205,17741,public.is_admin(),SD,False,False,True,True,False,,False,auth.uid,,adjust_total_amount;bulk_assign_memberships;current_user_store_ids;detect_orphan_users;get_ai_api_ke,False,True,C1B
206,131886,public.is_global_admin(),SD,False,False,True,True,False,,False,auth.uid,,get_or_create_product_cost_sheet;save_product_cost_sheet;upsert_store_cost_template,False,True,C1B
207,53942,public.is_managed_user(p_target_user_id uuid),SD,False,False,True,True,False,,False,auth.uid,,,False,True,C1B
208,47076,public.is_store_manager(p_store_id uuid),SD,False,False,True,True,False,,False,auth.uid,,manage_user_memberships,False,False,C1B
209,131887,public.is_store_member(p_store_id uuid),SD,False,False,True,True,False,,False,auth.uid,,,False,True,C1B
210,119653,public.on_pick3_profile_initial_bankroll(),SD,False,False,True,True,False,,False,,,,True,False,C1B
211,136711,"public.perform_inventory_adjustment(p_store_id uuid, p_product_id uuid, p_quantity_delta numeric, p_reason text, p_user_id uuid, p_unit_cost_adjustment numeric, p_operation_date timestamp with time zone)",SD,False,False,True,True,True,,False,has_store_access_as,src/app/api/sync/batch/route.ts;src/hooks/api/useDocumentActions.ts;src/hooks/api/useInventory.ts,,False,False,C1
212,21754,public.prevent_direct_inventory_modification(),SD,False,False,True,True,False,,False,,,,True,False,C1B
213,132503,"public.process_inventory_adjustment(p_store_id uuid, p_cashier_id uuid, p_items adjustment_item[], p_operation_date timestamp with time zone)",SD,False,False,True,True,True,,False,,src/app/api/inventory/adjustments/route.ts,,False,False,C1
214,137351,"public.register_supplier_payment(p_store_id uuid, p_ref_type text, p_ref_id uuid, p_amount numeric, p_payment_method text, p_paid_by uuid, p_currency text, p_exchange_rate numeric, p_reference text, p_notes text, p_idempotency_key text, p_payment_date timestamp with time zone)",SD,False,False,True,True,True,,False,,src/app/api/accounts-payable/bulk-pay/route.ts;src/app/api/payments/route.ts;src/app/api/production-,close_production_order_v2;create_production_order_v2,False,False,C1
215,132042,"public.save_product_cost_sheet(p_product_id uuid, p_store_id uuid, p_template_id text, p_modalidad text, p_calculated_data jsonb, p_cost_price numeric)",SD,False,False,True,True,True,,False,has_store_role;is_global_admin,src/app/api/product-cost-sheets/auto-generate/route.ts,,False,False,C1
216,133149,public.snapshot_commission_rule(),SD,False,False,True,True,True,,False,,,,True,False,C1B
217,131044,public.sync_product_has_movements(),SD,False,False,True,True,True,,False,,,,True,False,C1B
218,131067,public.sync_product_stock(),SD,False,False,True,True,True,,False,,,,True,False,C1B
219,133144,public.touch_updated_at(),SD,False,False,True,True,False,,False,,,,True,False,C1B
220,38664,public.validate_active_store(),SD,False,False,True,True,False,,False,,,,True,False,C1B
221,137561,"public.validate_post_restore(p_store_id uuid, p_backup_payload jsonb)",SD,False,False,True,True,False,,False,,,restore_store_backup,False,False,C1B
222,136900,"public.void_inventory_adjustment(p_adjustment_id uuid, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,src/components/views/terminal/views/inventory/InventoryAdjustmentsView.tsx,,False,False,C1
