identity	git_final_source	live_ref	body	security	search_path	signature	body_note	overall	git_final_body_md5	live_prosrc_md5
public.get_global_max_operation_date(p_store_id uuid)	git:20260623000001_refactor_per_store_policy.sql	oid:132485	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	bcf22693fd3e66480110e33a467f5c51	bcf22693fd3e66480110e33a467f5c51
public.validate_transfer_operation_date(p_new_date timestamp with time zone, p_origin_store_id uuid, p_destination_store_id uuid)	git:20260623000001_refactor_per_store_policy.sql	oid:132487	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	bfd0b74503a36b229a4119c6a78e8b35	bfd0b74503a36b229a4119c6a78e8b35
public.process_inventory_adjustment(p_store_id uuid, p_cashier_id uuid, p_items adjustment_item[], p_operation_date timestamp with time zone)	git:20260623000002_update_rpc_calls_per_store.sql	oid:132503	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	b8953e705b1c7e4a95033f5b6fd2a8b8	b8953e705b1c7e4a95033f5b6fd2a8b8
public.process_stock_adjustment(p_store_id uuid, p_product_id uuid, p_quantity_delta numeric, p_reason text, p_user_id uuid, p_operation_date timestamp with time zone)	git:20260623000002_update_rpc_calls_per_store.sql	oid:132504	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	075893ccc9f5f1ca7736e9854f0b0f21	075893ccc9f5f1ca7736e9854f0b0f21
public.calculate_service_distribution(p_service_id uuid)	git:20260625000001_servicios_recibidos.sql	oid:132722	MATCH_BYTE	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado	DRIFT_ATTRS	41c3919ac8a3cbc1a0077b24a4eda726	41c3919ac8a3cbc1a0077b24a4eda726
public.get_product_cost_analysis(p_product_id uuid, p_store_id uuid)	git:20260625000001_servicios_recibidos.sql	oid:132723	MATCH_BYTE	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado	DRIFT_ATTRS	fe8ddd14ce11f3c4dda16c50529181c9	fe8ddd14ce11f3c4dda16c50529181c9
public.upsert_usage_aggregate(p_bucket_start timestamp with time zone, p_bucket_end timestamp with time zone, p_metric_type text, p_service text, p_endpoint text, p_count integer, p_sum_value double precision)	git:20260626000001_usage_tracking.sql	oid:132923	MATCH_BYTE	MATCH	DRIFT_SEARCH_PATH	MATCH_BY_BODY	final declarado	DRIFT_ATTRS	9befc5b0746111bff9fbe0ec87be4048	9befc5b0746111bff9fbe0ec87be4048
public.get_usage_summary(p_hours integer)	git:20260626000001_usage_tracking.sql	oid:132924	MATCH_BYTE	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado	DRIFT_ATTRS	e1a0964845532ed51fd662c5bc42541b	e1a0964845532ed51fd662c5bc42541b
public.cleanup_old_aggregates(p_days integer)	git:20260626000001_usage_tracking.sql	oid:132926	MATCH_BYTE	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado	DRIFT_ATTRS	f83b7a58ee029647eea1a41ed4a156d4	f83b7a58ee029647eea1a41ed4a156d4
public.get_usage_forecast()	git:20260626000001_usage_tracking.sql	oid:132940	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	a8be75354c56f9a136c5f26dc8c84b21	4b256a97c922c96ce2456f20979b132e
public.touch_updated_at()	git:20260626000002_workers_commissions.sql	oid:133144	MATCH_BYTE	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado	DRIFT_ATTRS	301a884953d37769916294bb60562e05	301a884953d37769916294bb60562e05
public.snapshot_commission_rule()	git:20260715000010_commission_rules_add_product_mode.sql	oid:133149	MATCH_BYTE	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado	DRIFT_ATTRS	5d68137234f36c93dcd2c3ac618ec181	5d68137234f36c93dcd2c3ac618ec181
public.register_stock_movement(p_product_id uuid, p_store_id uuid, p_quantity numeric, p_movement_type text, p_reason text, p_user_id uuid, p_variant_id uuid, p_sale_id uuid, p_unit_cost numeric, p_notes text, p_operation_date timestamp with time zone, p_skip_access_check boolean)	git:20260626000005_qa_batch2_rpc_fixes.sql	oid:133204	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	CHECK_ARGS	cuerpo LIVE nunca declarado en Git	DRIFT_SIGNATURE	31dd0e2c408aa436e280ee5105327ffd	0182a6cf30396e193aba3c3fbce1c8c0
public.confirm_transfer(p_transfer_id uuid, p_user_id uuid, p_operation_date timestamp with time zone)	git:20260802000005_v2_12_44_transfer_confirm_remediation.sql	oid:133208	DRIFT_FUNCTION_BODY	MATCH	MATCH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	8d3e541a7a0285e4ef87c2c9bd683da3	91cb7a90d2775859ce1d42b09da160cc
public.create_purchase_order(p_store_id uuid, p_supplier_name text, p_supplier_id uuid, p_po_number text, p_notes text, p_expected_date date, p_created_by uuid, p_items jsonb)	git:20260808000004_v2_24_g4_create_purchase_order_final.sql	oid:133213	MATCH_BYTE	MATCH	MATCH	MATCH_BY_BODY	final declarado	MATCH	93856bef72bf97ebf89ab507cf2daa4f	93856bef72bf97ebf89ab507cf2daa4f
public.update_reception_items(p_receipt_id uuid, p_item_updates jsonb, p_user_id uuid)	git:20260810000020_pr2_migracion_b_schema.sql	oid:133215	MATCH_BYTE	MATCH	MATCH	MATCH_BY_BODY	final declarado	MATCH	fb0d30aa320949550a9aeaef265d8a0e	fb0d30aa320949550a9aeaef265d8a0e
public.get_low_stock_count(p_store_id uuid)	git:20260630120000_create_get_low_stock_count_rpc.sql	oid:133402	MATCH_CANONICAL	MATCH	MATCH	MATCH	final declarado (solo-ws)	MATCH_CANONICAL_WS	9228a0820dd068c207fcaf1c2c5dfcc9	234151e02bb41dafc4066fed737f8bbd
public.get_paginated_products(p_store_id uuid, p_search_term text, p_category text, p_limit integer, p_offset integer)	git:20260820000003_fix_rpc_stock_source.sql	oid:133830	MATCH_BYTE	MATCH	MATCH	MATCH_BY_BODY	final declarado	MATCH	bac90acd20987aae68d0fd1ad4b7e847	bac90acd20987aae68d0fd1ad4b7e847
public.handle_updated_at()	git:20260705000000_pick3_subscriptions.sql	oid:133916	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	301a884953d37769916294bb60562e05	301a884953d37769916294bb60562e05
public.update_payment_status()	git:20260809000012_v2_25_1_hotfix_trigger_select_policy.sql	oid:134235	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	07796fe0c481a8b6a09c097fa138afbc	07796fe0c481a8b6a09c097fa138afbc
public.set_default_due_date_receipt()	git:20260712000001_payment_tracking.sql	oid:134239	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	fa57be6ef03ca20387eda9a39a6104c4	fa57be6ef03ca20387eda9a39a6104c4
public.set_default_due_date_service()	git:20260712000001_payment_tracking.sql	oid:134241	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	e78bc502c217c4ff95cea50a31bd0e1b	e78bc502c217c4ff95cea50a31bd0e1b
public.calculate_commission_amount_cup()	git:20260712000006_fix_e2e_100_percent.sql	oid:134247	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	cf77e1051ef40b485c37f3f33fe6e3be	cf77e1051ef40b485c37f3f33fe6e3be
public.generate_production_order_number()	git:20260810000001_v2_26_g1_schema_sync.sql	oid:134328	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	209220c0ccd0b12cdcde7c6095bf0fa3	209220c0ccd0b12cdcde7c6095bf0fa3
public.receive_production_output_deprecated_4arg(p_order_id uuid, p_product_id uuid, p_quantity numeric, p_store_id uuid)	NOT_IN_GIT	oid:134339	-	-	-	-	-	ORPHAN_LIVE	-	-
public.set_default_due_date_commission()	git:20260713000004_commission_payments_due_date.sql	oid:134419	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	20c4d2970957337837e2a024d91b8207	20c4d2970957337837e2a024d91b8207
public.gbtreekey4_in(cstring)	EXTENSION-OWNED	oid:134460	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbtreekey4_out(gbtreekey4)	EXTENSION-OWNED	oid:134461	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbtreekey8_in(cstring)	EXTENSION-OWNED	oid:134464	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbtreekey8_out(gbtreekey8)	EXTENSION-OWNED	oid:134465	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbtreekey16_in(cstring)	EXTENSION-OWNED	oid:134468	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbtreekey16_out(gbtreekey16)	EXTENSION-OWNED	oid:134469	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbtreekey32_in(cstring)	EXTENSION-OWNED	oid:134472	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbtreekey32_out(gbtreekey32)	EXTENSION-OWNED	oid:134473	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbtreekey_var_in(cstring)	EXTENSION-OWNED	oid:134476	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbtreekey_var_out(gbtreekey_var)	EXTENSION-OWNED	oid:134477	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.cash_dist(money, money)	EXTENSION-OWNED	oid:134479	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.date_dist(date, date)	EXTENSION-OWNED	oid:134481	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.float4_dist(real, real)	EXTENSION-OWNED	oid:134483	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.float8_dist(double precision, double precision)	EXTENSION-OWNED	oid:134485	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.int2_dist(smallint, smallint)	EXTENSION-OWNED	oid:134487	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.int4_dist(integer, integer)	EXTENSION-OWNED	oid:134489	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.int8_dist(bigint, bigint)	EXTENSION-OWNED	oid:134491	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.interval_dist(interval, interval)	EXTENSION-OWNED	oid:134493	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.oid_dist(oid, oid)	EXTENSION-OWNED	oid:134495	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.time_dist(time without time zone, time without time zone)	EXTENSION-OWNED	oid:134497	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.ts_dist(timestamp without time zone, timestamp without time zone)	EXTENSION-OWNED	oid:134499	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.tstz_dist(timestamp with time zone, timestamp with time zone)	EXTENSION-OWNED	oid:134501	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_oid_consistent(internal, oid, smallint, oid, internal)	EXTENSION-OWNED	oid:134503	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_oid_distance(internal, oid, smallint, oid, internal)	EXTENSION-OWNED	oid:134504	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_oid_fetch(internal)	EXTENSION-OWNED	oid:134505	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_oid_compress(internal)	EXTENSION-OWNED	oid:134506	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_decompress(internal)	EXTENSION-OWNED	oid:134507	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_var_decompress(internal)	EXTENSION-OWNED	oid:134508	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_var_fetch(internal)	EXTENSION-OWNED	oid:134509	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_oid_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134510	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_oid_picksplit(internal, internal)	EXTENSION-OWNED	oid:134511	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_oid_union(internal, internal)	EXTENSION-OWNED	oid:134512	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_oid_same(gbtreekey8, gbtreekey8, internal)	EXTENSION-OWNED	oid:134513	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int2_consistent(internal, smallint, smallint, oid, internal)	EXTENSION-OWNED	oid:134532	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int2_distance(internal, smallint, smallint, oid, internal)	EXTENSION-OWNED	oid:134533	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int2_compress(internal)	EXTENSION-OWNED	oid:134534	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int2_fetch(internal)	EXTENSION-OWNED	oid:134535	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int2_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134536	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int2_picksplit(internal, internal)	EXTENSION-OWNED	oid:134537	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int2_union(internal, internal)	EXTENSION-OWNED	oid:134538	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int2_same(gbtreekey4, gbtreekey4, internal)	EXTENSION-OWNED	oid:134539	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int4_consistent(internal, integer, smallint, oid, internal)	EXTENSION-OWNED	oid:134558	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int4_distance(internal, integer, smallint, oid, internal)	EXTENSION-OWNED	oid:134559	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int4_compress(internal)	EXTENSION-OWNED	oid:134560	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int4_fetch(internal)	EXTENSION-OWNED	oid:134561	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int4_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134562	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int4_picksplit(internal, internal)	EXTENSION-OWNED	oid:134563	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int4_union(internal, internal)	EXTENSION-OWNED	oid:134564	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int4_same(gbtreekey8, gbtreekey8, internal)	EXTENSION-OWNED	oid:134565	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int8_consistent(internal, bigint, smallint, oid, internal)	EXTENSION-OWNED	oid:134584	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int8_distance(internal, bigint, smallint, oid, internal)	EXTENSION-OWNED	oid:134585	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int8_compress(internal)	EXTENSION-OWNED	oid:134586	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int8_fetch(internal)	EXTENSION-OWNED	oid:134587	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int8_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134588	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int8_picksplit(internal, internal)	EXTENSION-OWNED	oid:134589	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int8_union(internal, internal)	EXTENSION-OWNED	oid:134590	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_int8_same(gbtreekey16, gbtreekey16, internal)	EXTENSION-OWNED	oid:134591	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float4_consistent(internal, real, smallint, oid, internal)	EXTENSION-OWNED	oid:134610	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float4_distance(internal, real, smallint, oid, internal)	EXTENSION-OWNED	oid:134611	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float4_compress(internal)	EXTENSION-OWNED	oid:134612	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float4_fetch(internal)	EXTENSION-OWNED	oid:134613	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float4_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134614	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float4_picksplit(internal, internal)	EXTENSION-OWNED	oid:134615	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float4_union(internal, internal)	EXTENSION-OWNED	oid:134616	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float4_same(gbtreekey8, gbtreekey8, internal)	EXTENSION-OWNED	oid:134617	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float8_consistent(internal, double precision, smallint, oid, internal)	EXTENSION-OWNED	oid:134636	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float8_distance(internal, double precision, smallint, oid, internal)	EXTENSION-OWNED	oid:134637	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float8_compress(internal)	EXTENSION-OWNED	oid:134638	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float8_fetch(internal)	EXTENSION-OWNED	oid:134639	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float8_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134640	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float8_picksplit(internal, internal)	EXTENSION-OWNED	oid:134641	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float8_union(internal, internal)	EXTENSION-OWNED	oid:134642	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_float8_same(gbtreekey16, gbtreekey16, internal)	EXTENSION-OWNED	oid:134643	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_ts_consistent(internal, timestamp without time zone, smallint, oid, internal)	EXTENSION-OWNED	oid:134662	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_ts_distance(internal, timestamp without time zone, smallint, oid, internal)	EXTENSION-OWNED	oid:134663	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_tstz_consistent(internal, timestamp with time zone, smallint, oid, internal)	EXTENSION-OWNED	oid:134664	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_tstz_distance(internal, timestamp with time zone, smallint, oid, internal)	EXTENSION-OWNED	oid:134665	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_ts_compress(internal)	EXTENSION-OWNED	oid:134666	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_tstz_compress(internal)	EXTENSION-OWNED	oid:134667	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_ts_fetch(internal)	EXTENSION-OWNED	oid:134668	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_ts_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134669	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_ts_picksplit(internal, internal)	EXTENSION-OWNED	oid:134670	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_ts_union(internal, internal)	EXTENSION-OWNED	oid:134671	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_ts_same(gbtreekey16, gbtreekey16, internal)	EXTENSION-OWNED	oid:134672	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_time_consistent(internal, time without time zone, smallint, oid, internal)	EXTENSION-OWNED	oid:134709	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_time_distance(internal, time without time zone, smallint, oid, internal)	EXTENSION-OWNED	oid:134710	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_timetz_consistent(internal, time with time zone, smallint, oid, internal)	EXTENSION-OWNED	oid:134711	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_time_compress(internal)	EXTENSION-OWNED	oid:134712	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_timetz_compress(internal)	EXTENSION-OWNED	oid:134713	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_time_fetch(internal)	EXTENSION-OWNED	oid:134714	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_time_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134715	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_time_picksplit(internal, internal)	EXTENSION-OWNED	oid:134716	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_time_union(internal, internal)	EXTENSION-OWNED	oid:134717	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_time_same(gbtreekey16, gbtreekey16, internal)	EXTENSION-OWNED	oid:134718	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_date_consistent(internal, date, smallint, oid, internal)	EXTENSION-OWNED	oid:134752	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_date_distance(internal, date, smallint, oid, internal)	EXTENSION-OWNED	oid:134753	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_date_compress(internal)	EXTENSION-OWNED	oid:134754	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_date_fetch(internal)	EXTENSION-OWNED	oid:134755	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_date_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134756	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_date_picksplit(internal, internal)	EXTENSION-OWNED	oid:134757	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_date_union(internal, internal)	EXTENSION-OWNED	oid:134758	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_date_same(gbtreekey8, gbtreekey8, internal)	EXTENSION-OWNED	oid:134759	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_intv_consistent(internal, interval, smallint, oid, internal)	EXTENSION-OWNED	oid:134778	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_intv_distance(internal, interval, smallint, oid, internal)	EXTENSION-OWNED	oid:134779	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_intv_compress(internal)	EXTENSION-OWNED	oid:134780	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_intv_decompress(internal)	EXTENSION-OWNED	oid:134781	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_intv_fetch(internal)	EXTENSION-OWNED	oid:134782	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_intv_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134783	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_intv_picksplit(internal, internal)	EXTENSION-OWNED	oid:134784	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_intv_union(internal, internal)	EXTENSION-OWNED	oid:134785	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_intv_same(gbtreekey32, gbtreekey32, internal)	EXTENSION-OWNED	oid:134786	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_cash_consistent(internal, money, smallint, oid, internal)	EXTENSION-OWNED	oid:134805	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_cash_distance(internal, money, smallint, oid, internal)	EXTENSION-OWNED	oid:134806	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_cash_compress(internal)	EXTENSION-OWNED	oid:134807	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_cash_fetch(internal)	EXTENSION-OWNED	oid:134808	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_cash_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134809	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_cash_picksplit(internal, internal)	EXTENSION-OWNED	oid:134810	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_cash_union(internal, internal)	EXTENSION-OWNED	oid:134811	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_cash_same(gbtreekey16, gbtreekey16, internal)	EXTENSION-OWNED	oid:134812	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_macad_consistent(internal, macaddr, smallint, oid, internal)	EXTENSION-OWNED	oid:134831	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_macad_compress(internal)	EXTENSION-OWNED	oid:134832	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_macad_fetch(internal)	EXTENSION-OWNED	oid:134833	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_macad_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134834	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_macad_picksplit(internal, internal)	EXTENSION-OWNED	oid:134835	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_macad_union(internal, internal)	EXTENSION-OWNED	oid:134836	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_macad_same(gbtreekey16, gbtreekey16, internal)	EXTENSION-OWNED	oid:134837	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_text_consistent(internal, text, smallint, oid, internal)	EXTENSION-OWNED	oid:134854	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_bpchar_consistent(internal, character, smallint, oid, internal)	EXTENSION-OWNED	oid:134855	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_text_compress(internal)	EXTENSION-OWNED	oid:134856	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_bpchar_compress(internal)	EXTENSION-OWNED	oid:134857	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_text_penalty(internal, internal, internal)	EXTENSION-OWNED	oid:134858	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
public.gbt_text_picksplit(internal, internal)	EXTENSION-OWNED	oid:134859	-	-	-	-	ext:btree_gist	ORPHAN_EXTENSION	-	-
